Unnamed: 0,created_at,id_str,full_text,username,tweet_url
0,Sat Dec 30 23:53:23 +0000 2023,1741246132981059943,“Desak Anies “  Bentuk Pemimpin Sejati Bersama Rakyat tanpa Batas  Inshaa Allah Pak @aniesbaswedan  Istiqomah Bertaqwa Berakhlak Cerdas Lahir dan Bathin. AMIN #aniesbaswedan  #AniesMuhaimin2024  #AniesTakTerbendung,syahrizal3183,https://twitter.com/syahrizal3183/status/1741246132981059943
1,Sat Dec 30 23:10:38 +0000 2023,1741235375174193538,"Pak anies sekarang jadi father figure buat para gen Z terutama yg kehilangan sosok ayah, thanks Abah anies  #aniesbaswedan @aniesbubble",YasminAliyah23,https://twitter.com/YasminAliyah23/status/1741235375174193538
2,Sat Dec 30 23:18:16 +0000 2023,1741237294378697015,#anies bubble  #AMINAjaDulu https://t.co/eQaMd8AbWO,ChelseaRiy6500,https://twitter.com/ChelseaRiy6500/status/1741237294378697015
3,Sat Dec 30 23:33:17 +0000 2023,1741241073920520306,Ngundhuh wohing pakerti Apa pun yang kita lakukan akan membuahkan hasil yang sepadan  #partaiummat #buluspesantren #kebumen #aniesbaswedan #amienrais #adihamidfuadi https://t.co/ySUdTWpzZp,Ummat_Kebumen,https://twitter.com/Ummat_Kebumen/status/1741241073920520306
4,Sat Dec 30 23:03:08 +0000 2023,1741233487653577075,"Dukungan kepad Pak @aniesbaswedan sungguh di luar ekspetasi, atau mungkin ini yg pertama terjadi di Indonesia. Orang Rata-rata mendukung beliau. Sudah bisa kita sebut beliau pasti yg terbaik, tapi bila beliau di curangi??apa yg harus kita lakukan? #aniesbaswedan #AMINAjaDulu",BulsTheRock,https://twitter.com/BulsTheRock/status/1741233487653577075
5,Sat Dec 30 22:50:11 +0000 2023,1741230227010060519,"Anies Bubble Trending X, Ini Cerita Anies Baswedan Ketagihan Live TikTok  #TribunKaltim #Anies #TikTok #AniesBubble #Pilpres2024   https://t.co/IQCdeRbvdV lewat @tribunnews",tribunkaltim,https://twitter.com/tribunkaltim/status/1741230227010060519
6,Tue Jan 30 23:48:30 +0000 2024,1752478926851739770,Jeritan Hati Driver Ojol !!  #aniesbaswedan #jakarta #jawabarat #pilpres2024 #presiden2024 #jawatimur #politikindonesia #beritaterkini #gubernur #pemilu2024 #milenial #viralpost #viralindonesia #viral #PartaiPolitik #mahasiswa #sulawesi #debatcapres2024 #sumatera #ojol #jateng https://t.co/HKnexN32AI,iqkribmedia,https://twitter.com/iqkribmedia/status/1752478926851739770
7,Tue Jan 30 23:27:57 +0000 2024,1752473757506261485,@OposisiCerdas Naik kemana..??😂  Rakyat cerdas pilih #aniesbaswedan,LeoNleo5645,https://twitter.com/LeoNleo5645/status/1752473757506261485
8,Tue Jan 30 23:15:52 +0000 2024,1752470713439854905,"@deniss4lam @Naz_lira Semoga ikthiar yg kita lakukan wabil khusus pak #Anies dan doa orang2 shaleh, hajat orang terzalimi dan dgn berkat rahmat Allah, Allah mengabulkan harapan kita agar negeri ini dipimpin oleh pak @aniesbaswedan   #AMINSatukanIndonesia  #Amin",bossnya,https://twitter.com/bossnya/status/1752470713439854905
9,Tue Jan 30 22:31:02 +0000 2024,1752459431143772198,#aniesbaswedan #jokowi #prabowo #gibran #ganjarpranowo,mimimemey056,https://twitter.com/mimimemey056/status/1752459431143772198
10,Tue Jan 30 22:29:54 +0000 2024,1752459147315147058,*#Anies Memang Top &amp  Kerén 👍* https://t.co/hy5TZUBGAB,AsrolyF,https://twitter.com/AsrolyF/status/1752459147315147058
11,Tue Jan 30 22:27:31 +0000 2024,1752458549400396166,@abu_waras @Fahrihamzah . اَللَّهُمَّ صَلِّ وَسَلِّمْ عَلَى سَيِّدِنَا مُحَمَّدْ Allahumma sholli wasallim 'ala sayyidina muhammad   #sholawatkemenangan #Anies #presiden2024 #gusimin #wakilpresiden2024 #amin #viral  @aniesbaswedan @cakimiNOW @NasDem @PKSejahtera @DPP_PKB,hambaNYA201021,https://twitter.com/hambaNYA201021/status/1752458549400396166
12,Tue Jan 30 22:25:44 +0000 2024,1752458100010025184,@Mdy_Asmara1701 . اَللَّهُمَّ صَلِّ وَسَلِّمْ عَلَى سَيِّدِنَا مُحَمَّدْ Allahumma sholli wasallim 'ala sayyidina muhammad   #sholawatkemenangan #Anies #presiden2024 #gusimin #wakilpresiden2024 #amin #viral  @aniesbaswedan @cakimiNOW @NasDem @PKSejahtera @DPP_PKB,hambaNYA201021,https://twitter.com/hambaNYA201021/status/1752458100010025184
13,Tue Jan 30 22:23:23 +0000 2024,1752457506503462920,@Mdy_Asmara1701 . اَللَّهُمَّ صَلِّ وَسَلِّمْ عَلَى سَيِّدِنَا مُحَمَّدْ Allahumma sholli wasallim 'ala sayyidina muhammad   #sholawatkemenangan #Anies #presiden2024 #gusimin #wakilpresiden2024 #amin #viral  @aniesbaswedan @cakimiNOW @NasDem @PKSejahtera @DPP_PKB,hambaNYA201021,https://twitter.com/hambaNYA201021/status/1752457506503462920
14,Tue Jan 30 22:23:12 +0000 2024,1752457460034772999,@Mdy_Asmara1701 . اَللَّهُمَّ صَلِّ وَسَلِّمْ عَلَى سَيِّدِنَا مُحَمَّدْ Allahumma sholli wasallim 'ala sayyidina muhammad   #sholawatkemenangan #Anies #presiden2024 #gusimin #wakilpresiden2024 #amin #viral  @aniesbaswedan @cakimiNOW @NasDem @PKSejahtera @DPP_PKB,hambaNYA201021,https://twitter.com/hambaNYA201021/status/1752457460034772999
15,Tue Jan 30 22:16:00 +0000 2024,1752455650670784607,@Mdy_Asmara1701 . اَللَّهُمَّ صَلِّ وَسَلِّمْ عَلَى سَيِّدِنَا مُحَمَّدْ Allahumma sholli wasallim 'ala sayyidina muhammad   #sholawatkemenangan #Anies #presiden2024 #gusimin #wakilpresiden2024 #amin #viral  @aniesbaswedan @cakimiNOW @NasDem @PKSejahtera @DPP_PKB,hambaNYA201021,https://twitter.com/hambaNYA201021/status/1752455650670784607
16,Wed Feb 07 23:34:35 +0000 2024,1755374529696968783,@DPNAminBalad @aniesbaswedan @cakimiNOW Waktunya perubahan #aniesbaswedan  #CakimiNOW,Peminim289616,https://twitter.com/Peminim289616/status/1755374529696968783
17,Wed Feb 07 23:29:42 +0000 2024,1755373298010173685,#AMINAjaDulu  #KumpulAkbar  #aniesbaswedan https://t.co/HlZnSKrx6c,Rudy_Razi,https://twitter.com/Rudy_Razi/status/1755373298010173685
18,Wed Feb 07 23:28:10 +0000 2024,1755372915514835047,#Trending #Kreatifitas #Pendukung #aniesbaswedan #cakimin Gokillll KEREN MANTABS 👍 Challenge_Test Atas Nama Siapa?  https://t.co/oUtEgi3Msi https://t.co/3WfE8U3PzR,GODZILAANEWS,https://twitter.com/GODZILAANEWS/status/1755372915514835047
19,Wed Feb 07 23:23:34 +0000 2024,1755371756381196517,#aniesbaswedan #cakiminNow @Kyaibergerak01 @AminAjaDulu https://t.co/3XU0Dm4U8k,sakariah202,https://twitter.com/sakariah202/status/1755371756381196517
20,Wed Feb 07 23:18:08 +0000 2024,1755370389218500985,#aniesbaswedan  #AMINmenang  #PKSmenangAMIN https://t.co/z9h7drJfce,idhadhena,https://twitter.com/idhadhena/status/1755370389218500985
21,Wed Feb 07 23:12:32 +0000 2024,1755368980985028881,"Selamat pagi buibu yang lagi nguber anaknya siap-siap sekolah, atau yang lagi siapin mpasi, dan segala macam aktivitas buibu yang selalu padat 😍  Kita simak yuk apa kata AMIN tentang Perempuan 🤗  #Aniesbaswedan #cakImin #sayacoblos01  #KyaiBergerak01 https://t.co/PmKDTfeBJQ",abah_owl,https://twitter.com/abah_owl/status/1755368980985028881
22,Wed Feb 07 22:16:41 +0000 2024,1755354923833974820,Anies Kuasai Medsos Pasca Debat !!  #aniesbaswedan #jakarta #jawabarat #pilpres2024 #presiden2024 #jawatimur #politikindonesia #beritaterkini #gubernur #pemilu2024 #milenial #viralpost #viralindonesia #viral #PartaiPolitik #mahasiswa #sulawesi #debatcapres2024 #sumatera #jateng https://t.co/D59tVxrILv,iqkribmedia,https://twitter.com/iqkribmedia/status/1755354923833974820
23,Wed Feb 07 22:12:59 +0000 2024,1755353991339532602,Tiket Amin kalahkan coldplay !!  #aniesbaswedan #jakarta #jawabarat #pilpres2024 #presiden2024 #jawatimur #politikindonesia #beritaterkini #gubernur #pemilu2024 #milenial #viralpost #viralindonesia #PartaiPolitik #prestasi #guru #demokrasi #sulawesi #sumatera  #konsercoldplay https://t.co/76E31elJU4,iqkribmedia,https://twitter.com/iqkribmedia/status/1755353991339532602
24,Wed Feb 07 21:41:11 +0000 2024,1755345990067118316,"Sebaik-baik bangkai yang ditutupi, akan tercium juga  #ahok #aniesbaswedan #aniesbubble #AniesFinalStage",ani_marlia42,https://twitter.com/ani_marlia42/status/1755345990067118316
25,Wed Feb 07 21:24:31 +0000 2024,1755341794274140283,#AMINAjaDulu  #aniesbaswedan  #cakiminNow,ancha_zt,https://twitter.com/ancha_zt/status/1755341794274140283
26,Wed Feb 07 21:14:01 +0000 2024,1755339152630178205,"Ini kampanye anjing , bukan konser luar biasa ah masyarakat ingin perubahan #AniesFinalStage #aniesbaswedan  #AMINAjaDulu  #AMINkanIndonesia #Trending  #trendingvideo  # https://t.co/GOOy12VWuC",amnar_riwanur,https://twitter.com/amnar_riwanur/status/1755339152630178205
27,Wed Feb 07 21:07:31 +0000 2024,1755337518063718866,"Kampanye capres 01 di Pare2 Sulawesi Selatan viral di media sosial belakangan ini. Viralnya kampanye tersebut disebabkan curhatan seorang yang terlihat menangis di depan Aniespare-Pare,   Setelah di selidiki ternyata caleg dari pks, ia juga Mempunyai restoran.#aniesbaswedan https://t.co/dgbxpzUuuA",xander_mou,https://twitter.com/xander_mou/status/1755337518063718866
28,Wed Feb 07 21:03:22 +0000 2024,1755336474827120708,"Dulu ia bukanlah pendukung Anies Baswedan, bahkan sangat antipati.. melalui COVID-19, Allah telah membukakan mata dan hatinya akan pandangan nya yang salah selama ini kepada Pak @aniesbaswedan , dan ia pun Hijrah dan siap bersaksi atas apa yg ia telah katakan  #aniesbaswedan https://t.co/jHIFKQEcEQ",yudira13,https://twitter.com/yudira13/status/1755336474827120708
29,Wed Feb 07 20:53:22 +0000 2024,1755333956311146650,Mereka emang banyak banget dramanya. Pake gimmick pura2 jadi petani segala #aniesbaswedan,xander_mou,https://twitter.com/xander_mou/status/1755333956311146650
30,Wed Feb 07 19:41:33 +0000 2024,1755315885039116657,"Paparkan Gagasan dengan Baik, Anies Baswedan Potensi Yakinkan Pemilih yang Masih Bimbang  #AniesBaswedan #Amin #Pemilu2024 #RMOL  https://t.co/SepFm1N0Ej",rmol_id,https://twitter.com/rmol_id/status/1755315885039116657
31,Wed Feb 07 19:38:07 +0000 2024,1755315021293511012,2 Kartu Truf yang Bisa Bawa Anies Menang 1 Putaran  #2KartuTruf #AniesBaswedan #SatuPutaran #RMOL  https://t.co/dVCqYCjGnz,rmol_id,https://twitter.com/rmol_id/status/1755315021293511012
32,Wed Feb 07 19:24:43 +0000 2024,1755311645461745772,Urusin dulu pak @erickthohir rumput di jis. Baru sepak bola Indonesia maju.  #erickthohir #jis #jakarta #indonesia #prabowogibran #sepakbola #aniesbaswedan #jakartastudioninternasional #lapanganjis #lapanganbola https://t.co/d2hus7YVkO,AmNaz_S,https://twitter.com/AmNaz_S/status/1755311645461745772
