tweet_english,tokenize_tweet,labels,cleaned_tweet
"Anies urges to form a true leader with the people without borders, God willing, Mr. Istiqomah, pious, moral, intelligent in body and soul, amen","['Anies', 'urges', 'to', 'form', 'a', 'true', 'leader', 'with', 'the', 'people', 'without', 'borders', ',', 'God', 'willing', ',', 'Mr.', 'Istiqomah', ',', 'pious', ',', 'moral', ',', 'intelligent', 'in', 'body', 'and', 'soul', ',', 'amen']",positif,"Anies urges form true leader people borders , God , Mr. Istiqomah , pious , moral , intelligent body soul , amen"
"Mr. Anies is now a father figure for Gen Z, especially those who have lost their father figure. Thank you, Abah Anies","['Mr.', 'Anies', 'is', 'now', 'a', 'father', 'figure', 'for', 'Gen', 'Z', ',', 'especially', 'those', 'who', 'have', 'lost', 'their', 'father', 'figure', '.', 'Thank', 'you', ',', 'Abah', 'Anies']",positif,"Mr. Anies father figure Gen , lost father figure . , Abah Anies"
bubble,['bubble'],netral,bubble
Downloading why whatever we do will produce commensurate results,"['Downloading', 'why', 'whatever', 'we', 'do', 'will', 'produce', 'commensurate', 'results']",netral,Downloading produce commensurate
"the support for sir is really beyond expectations or maybe this is the first thing that has happened in Indonesia, the average person supports him, we can say he is definitely the best, but if he is cheated, what should we do?","['the', 'support', 'for', 'sir', 'is', 'really', 'beyond', 'expectations', 'or', 'maybe', 'this', 'is', 'the', 'first', 'thing', 'that', 'has', 'happened', 'in', 'Indonesia', ',', 'the', 'average', 'person', 'supports', 'him', ',', 'we', 'can', 'say', 'he', 'is', 'definitely', 'the', 'best', ',', 'but', 'if', 'he', 'is', 'cheated', ',', 'what', 'should', 'we', 'do', '?']",positif,"support sir expectations happened Indonesia , average person supports , , cheated , ?"
Anies Bubble Trending,"['Anies', 'Bubble', 'Trending']",netral,Anies Bubble Trending
the heart-rending scream of the ojol driver,"['the', 'heart-rending', 'scream', 'of', 'the', 'ojol', 'driver']",negatif,heart-rending scream ojol driver
rise wherever the intelligent people choose,"['rise', 'wherever', 'the', 'intelligent', 'people', 'choose']",positif,rise intelligent people choose
"I hope that the efforts we carry out are special, sir, and the prayers of pious people for the needs of the wronged and with the blessings of Allah's grace, Allah will grant our hopes that this country will be led by Sir.","['I', 'hope', 'that', 'the', 'efforts', 'we', 'carry', 'out', 'are', 'special', ',', 'sir', ',', 'and', 'the', 'prayers', 'of', 'pious', 'people', 'for', 'the', 'needs', 'of', 'the', 'wronged', 'and', 'with', 'the', 'blessings', 'of', 'Allah', ""'s"", 'grace', ',', 'Allah', 'will', 'grant', 'our', 'hopes', 'that', 'this', 'country', 'will', 'be', 'led', 'by', 'Sir', '.']",positif,"hope efforts carry special , sir , prayers pious people wronged blessings Allah 's grace , Allah grant hopes country led Sir ."
it's really a cool top amp,"['it', ""'s"", 'really', 'a', 'cool', 'top', 'amp']",positif,'s cool amp
