tweet_english,labels
"Anies urges to form a true leader with the people without borders, God willing, Mr. Istiqomah, pious, moral, intelligent in body and soul, amen",positif
"Mr. Anies is now a father figure for Gen Z, especially those who have lost their father figure. Thank you, Abah Anies",positif
bubble,netral
Downloading why whatever we do will produce commensurate results,netral
"the support for sir is really beyond expectations or maybe this is the first thing that has happened in Indonesia, the average person supports him, we can say he is definitely the best, but if he is cheated, what should we do?",positif
Anies Bubble Trending,netral
the heart-rending scream of the ojol driver,negatif
rise wherever the intelligent people choose,positif
"I hope that the efforts we carry out are special, sir, and the prayers of pious people for the needs of the wronged and with the blessings of Allah's grace, Allah will grant our hopes that this country will be led by Sir.",positif
it's really a cool top amp,positif
Allahumma sholli wasallim ala Sayyidina Muhammad,netral
time for change,netral
cool gokillll cool challengetest in whose name,positif
"Good morning mothers who are preparing their children for school or preparing complementary feeding and all kinds of busy mother activities, let's listen to what Amin says about women.",positif
Anies dominates social media after the debate,positif
amen ticket beat coldplay,netral
as well as a covered carcass will smell too,positif
"This is a dog campaign, not an extraordinary concert. Ah, people want change",positif
"The presidential campaign in Pare, South Sulawesi went viral on social media. Recently, the campaign went viral due to the story of someone who was seen crying in front of Anies Pare. After being investigated, it turned out that the legislative candidate from PKS also had a restaurant.",negatif
"In the past, he was not a supporter of Anies Baswedan and was even very antipathetic. Through Covid, Allah has opened his eyes and heart to his wrong views towards Mr. and he has moved and is ready to testify to what he has said.",negatif
They really do a lot of drama using the gimmick of pretending to be all farmers,positif
explain Anies Baswed's ideas well and have the potential to convince voters who are still undecided,positif
trump card that can bring Anies to win the round,positif
Take care of the grass first and then Indonesian football will progress,positif
"It's crazy, just found out that Mr. Anies is still talking about this, he can't work, try opening the link, that's everything Mr. Anies did while in Jakarta and that's original data from the DKI Jakarta website.",netral
sign language for time for change,netral
"some have it, some don't",netral
"Those who don't get tickets will still come because this is a free event and remember, don't buy tickets because it's free",positif
Simple leaders do not enrich themselves,netral
"How can the agency when trainees like this want to make their debut directly at the stadium, which is true, I can't stop thinking",positif
Amen wins the round,positif
"hahaha wait a minute, there will be people who will vow to give free anti-fake singing lessons to Sir",positif
"I let go of myself, Anies Rengasdengklok, I'm on Wednesday holiday, Amen, Arek sings, friends, Taurus, Libra, punishment",positif
"This is a survey of real data, not fake guarantees and estimates of the people's sincere love for Anies cannot be exchanged for anything by the president",positif
